iter	Passed	Remaining
0	75	75852
1	76	38400
2	79	26379
3	79	19919
4	81	16181
5	82	13600
6	82	11721
7	83	10351
8	84	9350
9	85	8499
10	87	7829
11	88	7248
12	88	6739
13	89	6324
14	90	5938
15	90	5592
16	91	5290
17	91	5008
18	92	4771
19	92	4552
20	93	4358
21	94	4200
22	95	4044
23	96	3910
24	96	3773
25	97	3649
26	98	3534
27	98	3425
28	99	3322
29	99	3225
30	100	3135
31	100	3049
32	101	2967
33	101	2893
34	102	2823
35	102	2755
36	103	2690
37	103	2629
38	104	2571
39	104	2517
40	105	2466
41	105	2416
42	106	2364
43	106	2319
44	107	2275
45	107	2232
46	108	2193
47	108	2156
48	108	2115
49	109	2082
50	110	2049
51	110	2021
52	111	1990
53	111	1959
54	112	1930
55	112	1901
56	113	1873
57	113	1846
58	114	1820
59	114	1796
60	115	1772
61	115	1750
62	116	1728
63	116	1706
64	117	1685
65	117	1668
66	118	1649
67	118	1630
68	119	1611
69	119	1593
70	120	1574
71	120	1557
72	121	1541
73	122	1527
74	122	1511
75	123	1496
76	123	1483
77	124	1468
78	124	1455
79	125	1441
80	125	1428
81	126	1415
82	127	1403
83	127	1390
84	128	1378
85	128	1366
86	129	1353
87	129	1341
88	129	1330
89	130	1318
90	130	1307
91	131	1297
92	131	1286
93	132	1275
94	132	1265
95	133	1255
96	133	1245
97	134	1236
98	135	1228
99	135	1219
100	135	1210
101	136	1201
102	137	1193
103	137	1184
104	137	1175
105	138	1167
106	138	1159
107	139	1152
108	140	1144
109	140	1137
110	140	1129
111	141	1122
112	141	1114
113	142	1106
114	143	1100
115	143	1094
116	144	1087
117	144	1082
118	145	1074
119	145	1067
120	146	1060
121	146	1054
122	147	1048
123	147	1042
124	148	1037
125	148	1032
126	149	1026
127	149	1020
128	150	1014
129	150	1009
130	151	1003
131	151	998
132	152	993
133	152	987
134	153	983
135	154	978
136	154	973
137	155	969
138	155	964
139	156	959
140	156	954
141	157	949
142	157	944
143	158	939
144	158	934
145	158	929
146	159	924
147	159	920
148	160	915
149	160	910
150	161	905
151	161	901
152	162	896
153	162	892
154	162	888
155	163	884
156	163	880
157	164	876
158	165	872
159	165	869
160	166	865
161	166	861
162	166	857
163	167	853
164	168	850
165	168	846
166	169	843
167	169	839
168	170	836
169	170	832
170	171	829
171	171	826
172	171	821
173	172	818
174	172	815
175	173	812
176	173	808
177	174	805
178	174	802
179	175	798
180	175	795
181	176	792
182	176	789
183	177	786
184	177	783
185	178	780
186	178	777
187	179	774
188	179	771
189	180	768
190	180	765
191	181	762
192	181	759
193	182	757
194	183	755
195	183	752
196	184	750
197	184	747
198	185	745
199	185	742
200	186	740
201	186	737
202	187	734
203	187	732
204	188	729
205	188	727
206	189	724
207	189	721
208	190	719
209	190	717
210	191	714
211	191	712
212	192	709
213	192	707
214	193	704
215	193	702
216	193	699
217	194	696
218	194	694
219	195	692
220	195	690
221	196	687
222	196	685
223	197	683
224	197	681
225	198	678
226	198	676
227	199	674
228	199	672
229	200	670
230	200	668
231	201	665
232	201	664
233	202	661
234	202	659
235	203	657
236	203	655
237	204	653
238	204	651
239	205	649
240	205	647
241	206	645
242	206	643
243	206	641
244	207	639
245	207	637
246	208	635
247	208	633
248	209	631
249	209	629
250	210	627
251	210	625
252	211	624
253	212	622
254	212	621
255	213	619
256	213	617
257	214	615
258	214	613
259	215	612
260	215	610
261	216	608
262	216	607
263	217	605
264	217	603
265	218	602
266	218	600
267	219	598
268	219	596
269	220	595
270	220	593
271	221	591
272	221	589
273	222	588
274	222	586
275	223	585
276	223	583
277	224	581
278	224	580
279	224	578
280	225	577
281	226	575
282	226	573
283	227	572
284	227	570
285	227	569
286	228	567
287	228	566
288	229	564
289	229	563
290	230	561
291	230	559
292	231	558
293	231	557
294	232	555
295	232	554
296	233	552
297	233	551
298	234	549
299	234	548
300	235	546
301	235	545
302	236	543
303	236	542
304	237	541
305	237	539
306	238	538
307	238	536
308	239	535
309	239	534
310	240	532
311	240	531
312	241	529
313	241	528
314	242	526
315	242	525
316	243	524
317	243	522
318	244	521
319	244	520
320	245	518
321	245	517
322	246	516
323	246	514
324	247	513
325	247	512
326	248	511
327	248	509
328	249	508
329	249	507
330	250	506
331	250	504
332	251	503
333	251	502
334	252	500
335	252	499
336	253	498
337	253	497
338	254	495
339	254	494
340	255	493
341	255	492
342	256	490
343	256	489
344	257	488
345	257	487
346	258	485
347	258	484
348	259	483
349	259	482
350	260	480
351	260	479
352	261	478
353	261	477
354	262	476
355	262	474
356	263	473
357	263	472
358	264	471
359	264	470
360	265	469
361	265	467
362	266	466
363	266	465
364	267	464
365	267	463
366	268	462
367	268	461
368	269	460
369	269	459
370	270	457
371	270	456
372	271	455
373	271	454
374	272	453
375	272	452
376	273	451
377	273	450
378	274	449
379	274	448
380	275	447
381	275	446
382	276	445
383	276	443
384	277	442
385	277	441
386	278	440
387	278	439
388	279	438
389	279	437
390	280	436
391	280	435
392	281	434
393	281	433
394	282	432
395	282	431
396	283	430
397	283	429
398	284	428
399	284	427
400	285	426
401	285	425
402	286	424
403	286	423
404	287	422
405	287	421
406	288	420
407	289	419
408	289	418
409	290	417
410	290	416
411	291	415
412	291	414
413	292	413
414	292	412
415	293	411
416	293	410
417	294	409
418	294	408
419	295	407
420	295	406
421	296	405
422	296	404
423	297	403
424	298	403
425	298	402
426	299	401
427	300	401
428	300	400
