iter	Passed	Remaining
0	1	1360
1	2	1132
2	3	1032
3	3	977
4	4	954
5	5	929
6	6	906
7	7	917
8	8	900
9	9	891
10	9	883
11	10	899
12	12	924
13	13	928
14	14	941
15	15	948
16	16	946
17	17	942
18	18	942
19	19	943
20	20	941
21	21	966
22	22	966
23	23	965
24	24	960
25	25	953
26	26	950
27	27	948
28	28	950
29	29	951
30	30	959
31	31	956
32	32	953
33	33	951
34	34	949
35	35	949
36	36	945
37	37	944
38	38	943
39	39	941
40	40	938
41	41	936
42	42	935
43	42	933
44	44	946
45	45	949
46	46	948
47	47	950
48	49	952
49	50	953
50	51	951
51	52	959
52	53	957
53	54	954
54	55	952
55	56	949
56	57	946
57	58	957
58	60	961
59	61	960
60	62	959
61	63	961
62	64	959
63	65	958
64	66	958
65	67	957
66	68	956
67	70	963
68	71	962
69	72	961
70	73	965
71	75	972
72	76	972
73	77	971
74	79	975
75	80	974
76	81	974
77	82	973
78	83	970
79	84	968
80	85	967
81	86	965
82	86	959
83	87	959
84	89	959
85	90	958
86	91	957
87	92	957
88	93	958
89	94	956
90	95	957
91	96	956
92	97	953
93	98	950
94	99	947
95	100	944
96	101	945
97	102	947
98	104	948
99	105	950
100	106	948
101	107	947
102	108	945
103	109	944
104	110	942
105	111	940
106	112	939
107	113	938
108	114	938
109	115	936
110	116	935
111	117	935
112	119	938
113	121	943
114	122	940
115	123	938
116	123	935
117	124	933
118	125	931
119	126	930
120	127	929
121	128	926
122	129	926
123	130	924
124	131	923
125	132	921
126	134	921
127	135	922
128	136	923
129	137	922
130	138	920
131	139	918
132	140	916
133	141	915
134	142	914
135	144	916
136	145	914
137	146	913
138	147	913
139	148	915
140	150	914
141	150	911
142	151	910
143	152	908
144	153	906
145	154	904
146	155	902
147	156	903
148	157	901
149	158	900
150	160	899
151	161	901
152	163	907
153	165	909
154	166	909
155	167	908
156	168	905
157	169	903
158	170	901
159	171	900
160	172	897
161	173	895
162	173	893
163	175	892
164	176	892
165	177	890
166	178	888
167	179	887
168	180	885
169	180	883
170	181	881
171	182	878
172	183	876
173	184	874
174	185	872
175	185	869
176	186	868
177	187	867
178	189	867
179	191	872
180	192	872
181	193	870
182	194	869
183	195	868
184	196	866
185	197	865
186	199	865
187	201	869
188	202	868
189	203	867
190	205	869
191	206	868
192	207	867
193	208	866
194	209	864
195	210	862
196	211	860
197	211	858
198	212	856
199	213	854
200	214	852
201	215	849
202	215	847
203	216	845
204	217	843
205	218	842
206	219	841
207	221	843
208	222	841
209	223	840
210	224	839
211	225	837
212	226	836
213	227	834
214	228	832
215	228	830
216	229	828
217	230	826
218	231	825
219	232	825
220	234	825
221	235	825
222	237	827
223	238	826
224	239	825
225	240	823
226	241	822
227	242	820
228	243	819
229	244	818
230	245	817
231	246	815
232	247	814
233	248	813
234	249	813
235	251	813
236	252	812
237	253	810
238	253	808
239	254	806
240	255	804
241	256	802
242	257	801
243	258	800
244	259	799
245	260	799
246	262	799
247	263	798
248	264	797
249	266	798
250	267	797
251	267	795
252	268	793
253	269	791
254	270	790
255	271	788
256	272	787
257	273	786
258	274	785
259	275	784
260	276	783
261	277	782
262	279	782
263	280	783
264	282	782
265	283	781
266	284	779
267	285	778
268	286	777
269	287	776
270	288	776
271	289	775
272	290	774
273	292	773
274	293	773
275	294	772
276	295	771
277	296	770
278	297	769
279	298	768
280	299	766
281	301	767
282	302	766
283	303	765
284	304	764
285	306	764
286	307	764
287	309	764
288	310	763
289	311	762
290	312	762
291	313	761
292	314	759
293	315	758
294	316	756
295	317	754
296	318	753
297	318	751
298	320	750
299	321	749
300	322	748
301	323	747
302	324	746
303	325	745
304	326	744
305	327	742
306	328	741
307	329	740
308	330	738
309	330	736
310	331	734
311	332	732
312	333	731
313	334	730
314	335	729
315	337	729
316	338	730
317	340	730
318	341	729
319	342	728
320	343	726
321	344	725
322	345	723
323	346	722
324	347	721
325	348	720
326	350	720
327	351	720
328	352	719
329	353	717
330	354	715
331	355	714
332	356	713
333	356	711
334	357	710
335	358	708
336	359	706
337	359	705
338	360	703
339	361	701
340	362	700
341	363	699
342	364	698
343	366	698
344	367	697
345	368	696
346	369	695
347	370	694
348	371	692
349	372	690
350	372	689
351	373	687
352	374	686
353	375	685
354	376	683
355	377	682
356	377	680
357	378	679
358	379	678
359	381	678
360	382	677
361	383	676
362	384	674
363	385	673
364	386	671
365	387	670
366	388	669
367	389	669
368	390	667
369	391	666
370	392	665
371	393	665
372	395	664
373	396	664
374	398	663
375	398	662
376	399	660
377	400	659
378	401	657
379	402	656
380	403	655
381	404	653
382	404	652
383	405	650
384	406	649
385	407	647
386	409	648
387	410	648
388	412	647
389	413	646
390	414	645
391	415	644
392	416	643
393	417	642
394	418	641
395	419	639
396	419	637
397	420	636
398	422	636
399	423	635
400	425	635
401	426	634
402	427	633
403	428	632
404	429	631
405	430	629
406	431	628
407	432	627
408	433	626
409	434	625
410	435	624
411	444	634
412	445	633
413	447	633
414	448	631
415	449	630
416	451	630
417	452	630
418	455	631
419	456	630
420	458	630
421	459	629
422	460	628
423	461	627
424	463	626
425	464	625
426	466	625
427	467	624
428	469	625
429	471	624
430	472	623
431	473	622
432	475	622
433	476	620
434	477	619
435	478	618
436	479	617
437	480	616
438	481	615
439	483	614
440	484	613
441	484	612
442	487	612
443	488	611
444	489	610
445	490	609
446	492	608
447	493	608
448	494	606
449	495	605
450	497	605
451	498	604
452	499	603
453	500	602
454	501	600
455	502	599
456	503	597
457	504	596
458	505	595
459	505	593
460	507	592
461	508	591
462	509	590
463	510	589
464	511	588
465	512	586
466	512	585
467	513	584
468	514	583
469	516	582
470	517	580
471	518	579
472	519	578
473	519	576
474	520	575
475	521	574
476	522	573
477	524	572
478	525	571
479	527	571
480	528	570
481	529	568
482	530	567
483	530	566
484	531	564
485	532	563
486	533	561
487	534	560
488	535	559
489	536	558
490	537	557
491	539	556
492	540	556
493	542	555
494	542	553
495	543	552
496	544	551
497	545	549
498	545	548
499	546	546
500	547	545
501	548	544
502	550	543
503	551	542
504	552	541
505	553	540
506	555	540
507	556	538
508	557	537
509	558	536
510	559	535
511	560	534
512	561	533
513	562	531
514	563	530
515	564	529
516	565	527
517	565	526
518	567	525
519	568	524
520	569	523
521	570	522
522	571	521
523	572	520
524	573	519
525	574	517
526	575	516
527	576	515
528	577	514
529	578	513
530	579	512
531	581	511
532	582	510
533	583	509
534	585	508
535	585	507
536	586	505
537	588	505
538	589	504
539	590	503
540	591	502
541	592	500
542	593	499
543	594	498
544	595	497
545	596	496
546	598	495
547	599	494
548	600	493
549	601	492
550	602	491
551	603	489
552	604	488
553	605	487
554	606	486
555	607	485
556	608	483
557	609	482
558	610	481
559	612	481
560	614	480
561	615	479
562	616	478
563	617	477
564	618	475
565	618	474
566	619	473
567	620	471
568	621	470
569	622	469
570	622	468
571	623	466
572	624	465
573	625	464
574	627	463
575	628	462
576	629	461
577	630	460
578	631	458
579	632	457
580	632	456
581	633	455
582	634	453
583	635	452
584	636	451
585	637	450
586	637	448
587	638	447
588	639	446
589	640	445
590	642	444
591	643	443
592	644	442
593	645	440
594	645	439
595	647	438
596	648	437
597	649	436
598	650	435
599	651	434
600	652	432
601	653	431
602	654	430
603	656	430
604	657	429
605	658	428
606	659	427
607	660	425
608	661	424
609	662	423
610	663	422
611	664	421
612	666	420
613	667	419
614	668	418
615	669	417
616	671	417
617	672	415
618	673	414
619	674	413
620	675	412
621	676	411
622	678	410
623	679	409
624	680	408
625	681	406
626	682	405
627	683	405
628	685	404
629	686	403
630	687	402
631	688	400
632	690	400
633	691	399
634	692	398
635	693	396
636	694	395
637	695	394
638	696	393
639	698	392
640	700	392
641	701	391
642	702	390
643	703	389
644	704	387
645	705	386
646	706	385
647	707	384
648	707	382
649	708	381
650	709	380
651	710	379
652	712	378
653	713	377
654	714	376
655	715	375
656	716	374
657	717	373
658	718	372
659	719	370
660	720	369
661	721	368
662	722	367
663	723	366
664	724	364
665	725	363
666	726	362
667	728	362
668	729	361
669	730	359
670	731	358
671	732	357
672	733	356
673	734	355
674	735	354
675	736	353
676	737	351
677	738	350
678	739	349
679	740	348
680	742	347
681	743	346
682	744	345
683	745	344
684	746	343
685	747	342
686	748	340
687	749	339
688	750	338
689	751	337
690	752	336
691	752	335
692	753	333
693	754	332
694	756	331
695	757	330
696	759	330
697	760	328
698	761	327
699	761	326
700	762	325
701	763	324
702	764	322
703	765	321
704	766	320
705	767	319
706	767	318
707	769	317
708	770	316
709	772	315
710	773	314
711	775	313
712	776	312
713	777	311
714	778	310
715	779	309
716	780	307
717	780	306
718	781	305
719	782	304
720	784	303
721	785	302
722	786	301
723	788	300
724	789	299
725	790	298
726	791	297
727	792	296
728	793	294
729	795	294
730	796	293
731	797	292
732	799	291
733	801	290
734	802	289
735	803	288
736	804	286
737	804	285
738	806	284
739	807	283
740	808	282
741	809	281
742	810	280
743	811	279
744	813	278
745	814	277
746	816	276
747	817	275
748	818	274
749	818	272
750	819	271
751	821	270
752	822	269
753	823	268
754	824	267
755	826	266
756	827	265
757	828	264
758	829	263
759	831	262
760	832	261
761	833	260
762	834	259
763	835	258
764	836	256
765	836	255
766	837	254
767	838	253
768	839	252
769	840	250
770	841	249
771	842	248
772	843	247
773	844	246
774	846	245
775	847	244
776	847	243
777	848	242
778	849	241
779	850	239
780	851	238
781	852	237
782	853	236
783	853	235
784	854	234
785	855	233
786	856	231
787	858	230
788	859	229
789	861	228
790	862	227
791	863	226
792	863	225
793	864	224
794	865	223
795	866	221
796	866	220
797	867	219
798	868	218
799	869	217
800	870	216
801	871	215
802	872	214
803	874	213
804	875	211
805	876	210
806	877	209
807	878	208
808	878	207
809	879	206
810	880	205
811	881	204
812	882	202
813	883	201
814	884	200
815	885	199
816	887	198
817	888	197
818	890	196
819	890	195
820	891	194
821	892	193
822	893	192
823	894	191
824	895	189
825	896	188
826	897	187
827	898	186
828	900	185
829	901	184
830	902	183
831	903	182
832	904	181
833	906	180
834	906	179
835	907	178
836	908	176
837	909	175
838	910	174
839	910	173
840	911	172
841	912	171
842	913	170
843	914	168
844	915	167
845	916	166
846	917	165
847	918	164
848	919	163
849	921	162
850	922	161
851	923	160
852	924	159
853	925	158
854	926	157
855	927	155
856	928	154
857	929	153
858	930	152
859	932	151
860	934	150
861	935	149
862	936	148
863	937	147
864	938	146
865	939	145
866	940	144
867	941	143
868	942	142
869	944	141
870	945	140
871	946	138
872	947	137
873	948	136
874	949	135
875	950	134
876	951	133
877	953	132
878	954	131
879	955	130
880	956	129
881	957	128
882	958	127
883	960	125
884	960	124
885	962	123
886	963	122
887	964	121
888	965	120
889	966	119
890	967	118
891	968	117
892	969	116
893	970	115
894	971	114
895	973	112
896	974	111
897	976	110
898	977	109
899	978	108
900	979	107
901	980	106
902	980	105
903	981	104
904	982	103
905	983	102
906	985	101
907	987	100
908	988	98
909	990	97
910	991	96
911	992	95
912	993	94
913	994	93
914	995	92
915	996	91
916	996	90
917	997	89
918	998	88
919	999	86
920	1000	85
921	1001	84
922	1002	83
923	1003	82
924	1004	81
925	1005	80
926	1006	79
927	1007	78
928	1008	77
929	1009	76
930	1010	74
931	1011	73
932	1012	72
933	1012	71
934	1013	70
935	1014	69
936	1015	68
937	1016	67
938	1018	66
939	1020	65
940	1021	64
941	1022	62
942	1023	61
943	1023	60
944	1024	59
945	1025	58
946	1026	57
947	1028	56
948	1030	55
949	1031	54
950	1032	53
951	1033	52
952	1034	51
953	1035	49
954	1036	48
955	1037	47
956	1037	46
957	1038	45
958	1040	44
959	1041	43
960	1043	42
961	1044	41
962	1045	40
963	1046	39
964	1046	37
965	1047	36
966	1048	35
967	1049	34
968	1050	33
969	1051	32
970	1052	31
971	1053	30
972	1054	29
973	1055	28
974	1057	27
975	1059	26
976	1060	24
977	1061	23
978	1062	22
979	1063	21
980	1064	20
981	1065	19
982	1066	18
983	1068	17
984	1069	16
985	1070	15
986	1071	14
